state,source_family,role,enumeration_ids,grade_evidence,result_evidence,coach_evidence,access_class,report_ref,confidence
WI,athletic_net_rankings,DISCOVERY baseline,"divListId 170770; 3,924 G11 athletes enumerated (39 event variants)","GradeID==11 in 2026-season rows = Co2027 (server-side grades:[11] filter, near-tight)",best-mark-only ranking rows; whole-meet refresh via Meet/* (3 XHR),none,browser-session API; CF-403 to curl,[04],verified
MN,state_association (MSHSL),PRIMARY (school+team) + COACH-DIRECTORY + grade oracle,"664 schools; hostSchoolId (611 Wayzata), team node nid (589034), activityId 124|125|150|151, yearId; MeetID 666673 (2026 state T&F) free from /api/team-data/schedule","in-season roster grade codes 07|08|FR|SO|JR|SR; state archive pages print Name, Grade, Mark (champions only)",state-tournament archive PDFs 2017-2025 (T&F text-extractable Yr column); roster/schedule/scores JSON,"MSHSL school page: AD 9 rows / 7 w/ email [29]; coach names+emails also on /api/coaches/<nid> (head coach Aaron Berndt w/ email; 4/10 records carry email, 2 teams) [09]",public unauthenticated JSON (Drupal JSON:API) + HTML; Cloudflare only for email obfuscation,[09],verified + sampled (2 teams) email rate
MN,milesplit (mn.milesplit.com),RESULT-SOURCE + free Co2027 enumerator (roster),592 HS teams; TeamID; MeetID 779650; AthleteID,roster grad-year column (same platform) [27],1 req/meet raw results on robots-disallowed /api/,none,robots-allowed rosters/meets; /api/ + /rankings disallowed,[27],verified platform (state counts)
MN,directathletics_tfrrs,"AUTHENTICATED-NOT (HS depth), PRIMARY only in IN",753 T&F + 121 XC records; 380 canonical schools,FR/SO/JR/SR on legacy HS event sheets,Lake Conference 2016 result page only (10 teams),none,open HTML,[28],"verified (counts), weak result depth"
MN,athleticlive + timers,RESULT-SOURCE (+AN id bridge),"AthleticLIVE MeetID 74652 (2026 T&F), 58505 (2025 XC); per-row ani (AN athlete id) + t.ani (AN team id)",row grade column Yr/'JR' (242/242 Juniors at 2025 state XC),6 blob requests -> 959 rows (state XC 2025); 1 request -> 121 rows (Bauman/Rovn 2026); GSE 608 XC meets; Raceberryjam archive,none,"Azure Blob JSON, no auth/CF/browser; mtecresults API authenticated (rejected)",[10],verified
MN,athletic_net_rankings,DISCOVERY baseline,"divListId 169465; 3,780 G11 athletes (44 variants)","GradeID==11 in 2026-season rows = Co2027 (server-side grades:[11] filter, near-tight)",best-mark-only ranking rows; whole-meet refresh via Meet/* (3 XHR),none,browser-session API; CF-403 to curl,[04],verified
IA,state_association (IHSAA/IGHSAU),PRIMARY (school universe) + coach names (no email),379 IHSAA members / 379 IGHSAU; 365 boys-T&F programs; Bound team ids re-issued yearly (0/365 shared 2025-26 vs 2026-27); comp id h...,Bound roster Year FR/SO/JR/SR (JR = Co2027); results append grade (FR encoded 09 sometimes),"Bound /v/results, results/all?idMetric=, /scores?date= (1 req = 1 day, all meets)","Bound school directory: 63 coach rows named, 3 w/ email; AD 20 rows, 2 w/ email (email is per-school opt-in) [29]; names only, no emails [11]",IHSAA WordPress (robots disallows query strings); Bound robots Crawl-Delay: 10,[11],verified + sampled rosters
IA,milesplit (ia.milesplit.com),RESULT-SOURCE + free Co2027 enumerator (roster),411 HS teams; TeamID; AthleteID,roster grad-year column,/api/ meet results (robots-disallowed),none,robots-allowed rosters,[27],verified platform
IA,directathletics_tfrrs,"AUTHENTICATED-NOT (HS depth), PRIMARY only in IN",808 T&F + 784 XC records; 408 canonical schools,FR/SO/JR/SR on MVC Girls Divisional 2022 event sheet,no live HS results,none,open HTML,[28],verified (counts)
IA,athleticlive + timers,RESULT-SOURCE (+AN id bridge),"Wayzata ES indices: IA 598 meets (306/306 HS-flagged carry AN meet URL); t.ani on 136/136 XC rows (17600 Waukee ...); state T&F 1,265 G11 athletes","a.y numeric 9-12 (track) / FR-SR (XC); 136/136 populated XC, 6/6 track",per-event JSON docs; conditional GET via frua/ua; IATC weekly index (2018-2026) as meet->provider map,none (assignment 29 territory),"search.athletic.live ES (public, no auth) + blob docs; resultscm.com authenticated",[12],verified
IA,athletic_net_rankings,DISCOVERY baseline,"divListId 169178; 2,619 G11 athletes (38 variants)","GradeID==11 in 2026-season rows = Co2027 (server-side grades:[11] filter, near-tight)",best-mark-only ranking rows; whole-meet refresh via Meet/* (3 XHR),none,browser-session API; CF-403 to curl,[04],verified
IL,state_association (IHSA),PRIMARY (universe+structure) + COACH-DIRECTORY + grade oracle + AN-SEED,828 schools in 1 request (SchoolID); PersonID; tournament ids (XC 688-693); MeetId 74003/74002 with athleticNetId + athleticLiveId per finisher; team athleticNetId 16352,"state-final entries/finishers carry grading: 3,342 entry lines Sr 1,295/Jr 1,079/So 636/Fr 332 -> 2,555 unique triples, 838 Jr; XC 3A qualifiers 420 w/ 135 G11 (boys 1,214 w/ 358 G11)",tournament-results doc index + per-event summaries (500937 etc.) with per-athlete athleticNetId; live.athletic.net/meets/74003,"IHSA staff2 + /staff/<PersonID>/email: 12/12 coach rows w/ email, 4/4 AD w/ email [29]; head-coach row present 42/56 school-sport-gender cells (75%), email on 49/49 sampled rows [13]","public unauthenticated JSON api.ihsa.org/v1+v2, no CF challenge, no cookies",[13],verified + sampled (14 schools)
IL,milesplit (il.milesplit.com),RESULT-SOURCE + free Co2027 enumerator (roster),849 HS teams,roster grad-year column,/api/ meet results (robots-disallowed),none,robots-allowed rosters,[27],verified platform
IL,directathletics_tfrrs,"AUTHENTICATED-NOT (HS depth), PRIMARY only in IN","1,744 T&F + 1,596 XC records; 880 canonical schools; 4,964 HS team ids",2024 list -> 2024 FR = Co2027 (336 measured); profile Class vs Year contradiction warning; IL team-page roster `Year` is an era-relative ordinal (13/14/15) and not season-scoped [14] - roster gives Name->AthleteID only; take the class from the lists,no live HS results (IL Top Times lists 2022-2024 only),none,open HTML,[14][28],verified (counts)
IL,athleticlive + timers,RESULT-SOURCE (+AN id bridge),"IHSA state finals live.athletic.net/meets/74003,74002 (ATN live, not AL)",state PDFs + ATN live entries,IHSA per-event summaries; MileSplit paywall for most results,none,public,[13][27],verified
IL,athletic_net_rankings,DISCOVERY baseline,"divListId 169070; 6,009 G11 athletes (44 variants)","GradeID==11 in 2026-season rows = Co2027 (server-side grades:[11] filter, near-tight)",best-mark-only ranking rows; whole-meet refresh via Meet/* (3 XHR),none,browser-session API; CF-403 to curl,[04],verified
MI,state_association (MHSAA),ATHLETIC.NET-SEED (postseason) + school universe,"755 school IDs (stable numeric), co-op program IDs, 89 AN MeetIDs/season (48 TF regionals + 5 TF finals + 36 XC regionals) from ~12 HTML requests",finals PDFs only: Yr (TF) / Year (XC) column; 2023/24 LP TF + UP finals,postseason PDFs + AN meet links; no regular-season surface,"MHSAA admin API (AdministrationDirectory): 14 rows, 14 w/ email - AD only, no sport coach [29]; host-school AD in regional Meet-Info PDFs [15]",open HTML/PDF; Cloudflare present without challenge; my.mhsaa.com school-division list is JS-only (Knockout SPA),[15],verified
MI,milesplit (mi.milesplit.com),RESULT-SOURCE + free Co2027 enumerator (roster),895 HS teams; TeamID; AthleteID,roster Class column = grad year; 0 = unknown (Saline 38/494),/api/ results (robots-disallowed); PRO-gated athlete pages,none (no staff section),robots-allowed rosters,[16][27],verified
MI,directathletics_tfrrs,"AUTHENTICATED-NOT (HS depth), PRIMARY only in IN","1,612 T&F + 1,618 XC records; 814 canonical schools",legacy event sheets only,index 92 rows / 0 HS-marked,none,open HTML,[28],verified (counts)
MI,athleticlive + timers,RESULT-SOURCE (+AN id bridge),MITCA + Superior Timing pages expose ~14 AN MeetIDs; MITCA 284165-284168,timer pages mostly no grade column,Superior Timing archive 2009-2026; PT Timing live.pttiming terms PROHIBIT automated extraction,none,open HTML; PT Timing terms-restricted (no data endpoint touched),[16],verified
MI,athletic_net_rankings,DISCOVERY baseline,"divListId 169407 (MI 2026 outdoor, from GetNavInfo regions[] [04]); 5,984 G11 athletes (48 variants); 294 distinct TeamID in 707-row sample","GradeID==11 in 2026-season rows = Co2027 (server-side grades:[11] filter, near-tight)",best-mark-only ranking rows; whole-meet refresh via Meet/* (3 XHR),none,browser-session API; CF-403 to curl,[04],verified
IN,state_association (IHSAA),PRIMARY (tournament structure) + grade oracle; no coach surface,/api/tournaments 456 nodes (91 TF/XC); 413 members (408 full); gender/sport GUIDs; Hy-Tek PDF URLs,state-finals Hy-Tek PDFs with grade + wind; TFRRS meet results with grade; 2024-25 -> 38 TFRRS links,state-finals PDFs; TFRRS tournament hubs 2023-2025,NONE - IHSAA directory carries no contact fields; myIHSAA is login-only [29]; verified 0 coach fields on TFRRS/ihsaa surfaces [17],open HTML + public JSON; no auth needed,[17],verified
IN,milesplit (in.milesplit.com),RESULT-SOURCE + free Co2027 enumerator (roster),533 HS teams; >=101 2026 track meets,roster grad-year column,/api/ results (robots-disallowed),none,robots-allowed rosters,[18][27],verified
IN,directathletics_tfrrs,"AUTHENTICATED-NOT (HS depth), PRIMARY only in IN",929 T&F + 887 XC records; 466 canonical schools; indiana.tfrrs.org 452 slugs / 901 gender-team pages,"rosters with numeric AthleteID + current grade (SR on 2026-27 = Co2027); HSR lists 1,861 Co2027 in 2 requests via &year=JR (1,155+706 disjoint; 6,533 unfiltered). GRADE TRAP: &year=SR there = Class of 2026 (at-meet grade)","HSR Large/Small + All-School journal (1,180 rows / 312 teams, 2026); meet results w/ grade; ≥100 dated rows on the parent-domain index; CAVEAT: 2026 meet coverage collapsed (56 track meets vs 1,022 in 2025; IHSAA outdoor tournament absent from the 2026 list) [18]",none (0 coach matches on TFRRS pages),open HTML; results.rss feed; no auth,[18][28],verified
IN,athleticlive + timers,RESULT-SOURCE (+AN id bridge),Timing MD live.timingmd.net/meets/74720 (2026 state final),no grade observed on that page,"live page only (2026 regular season thin: 56 TFRRS track meets vs 1,022 in 2025)",none,public web page,[17],verified
IN,athletic_net_rankings,DISCOVERY baseline,"divListId 169137; 2,681 G11 athletes (37 variants)","GradeID==11 in 2026-season rows = Co2027 (server-side grades:[11] filter, near-tight)",best-mark-only ranking rows; whole-meet refresh via Meet/* (3 XHR),none,browser-session API; CF-403 to curl,[04],verified
OH,state_association (OHSAA),COACH-DIRECTORY + ATHLETIC.NET-SEED + VALIDATION,"815 schools (myOHSAA SearchSchool, ohsaaId); 2,353 school-gender-division rows from 18 PDFs; MeetIDs 656920/656686 + live 74520 + entries; team 22671","state final Hy-Tek PDFs with grade: 561 distinct G11 names individual (1,067 incl. relays) from 2026 state meet","state/district PDFs (Azure blob ohsaaweb, unauthenticated); AN delegated","myOHSAA portal (3 req/school): 18 coach rows, 15 w/ email; AD 13/13 w/ email [29]; 33/56 sampled cells named (59%), 100% of named cells w/ email [19]",open HTML (myOHSAA) + Azure blob; policy doc is a Google Doc export; no auth,[19],verified + sampled (14 schools)
OH,milesplit (oh.milesplit.com),RESULT-SOURCE + free Co2027 enumerator (roster),977 HS teams; MeetID 769837 OHSAA district; TeamID,roster API gradYear (10-team XC 2026 sample -> 41 gradYear=2027 of 118 rows); profile Class of YYYY,1 req/meet JSON (_embedded.meet + data[]) - /api/ robots-disallowed; results pages otherwise,none,robots-allowed rosters/meets; /api/ + /rankings disallowed; rankings paywalled past #1,[20][27],verified
OH,directathletics_tfrrs,"AUTHENTICATED-NOT (HS depth), PRIMARY only in IN","1,749 T&F + 1,679 XC records; 875 canonical schools",legacy only,index >=100 rows / 0 HS-marked,none,open HTML,[28],verified (counts)
OH,athleticlive + timers,RESULT-SOURCE (+AN id bridge),"Finish Timing homepage publishes 29 AN MeetIDs (FT id = ""20""+ANID, 28/28 verified); MileSplit Live (trackscoreboard)",none observed on FT pages,FT static result URLs; Baumspage state/district,none,public HTML,[20],verified
OH,athletic_net_rankings,DISCOVERY baseline (association mandatess ATN),"divListId 170050; 6,361 G11 athletes (51 variants); all 815 schools have ATN team pages (policy)","GradeID==11 in 2026-season rows = Co2027 (server-side grades:[11] filter, near-tight)",best-mark-only ranking rows; whole-meet refresh via Meet/* (3 XHR),none,browser-session API; CF-403 to curl,[04][19],verified
MO,state_association (MSHSAA),VALIDATION (grade oracle at state) + school universe,"646 HS orgs (592 full members), stable integer org ids (1,006 ids spanning 2..1,913, 47.4% gaps - enumerate listing page only); NO MeetID/TeamID/AthleteID anywhere","state result PDFs Year column 9-12; ~300-350 Co2027/sport [INFERENCE]; 6,163 champion rows carry no grade",state championship PDFs only (T&F + XC); no regular season,"NONE - MSHSAA exposes no contacts at any level (dead end, not pending) [29][21]","aspx POST/GET, no auth; delegated ATN results path is CF-403",[21],verified
MO,milesplit (mo.milesplit.com),RESULT-SOURCE + free Co2027 enumerator (roster),700 HS teams,roster grad-year column,/api/ (robots-disallowed),none,robots-allowed rosters,[27],verified platform
MO,directathletics_tfrrs,"AUTHENTICATED-NOT (HS depth), PRIMARY only in IN",980 T&F + 939 XC records; 492 canonical schools,legacy event sheets,68 idx rows / 4 HS-marked,none,open HTML,[28],verified (counts)
MO,athleticlive + timers,RESULT-SOURCE (+AN id bridge),PrimeTime exEntryLink -> 6 MO AN MeetIDs (619619 etc.); live.pttiming (Karmarush),Hy-Tek Year column 9-12 (verified across MSHSAA 2026 track HTML),"10 HTML files -> 3,393 athlete-event rows (MSHSAA 2026 state track); ~14 meets 2025 / ~9 2026 with published files",none,data.pttiming.com public bucket; live.pttiming.com ToU v1.0 (2026-09-03) PROHIBITS automated access -> REJECT that host,[22],"verified (access), REJECT for live platform"
MO,athletic_net_rankings,DISCOVERY baseline,"divListId 169578; 3,621 G11 athletes (40 variants)","GradeID==11 in 2026-season rows = Co2027 (server-side grades:[11] filter, near-tight)",best-mark-only ranking rows; whole-meet refresh via Meet/* (3 XHR),none,browser-session API; CF-403 to curl,[04],verified
KS,state_association (KSHSAA),VALIDATION (grade oracle) + COACH-DIRECTORY (AD emails only),348 classified members (+394 historical); OrgActID; ActivityYearID 2309/2346; kshsaachamps own id space (4135/4179),"kshsaachamps XC rows carry grade: 89 G11 rows of 143 graded rows (2025 boys XC); TF history 20,887 rows 2000-2026 has no grade",kshsaachamps results (2000-2026 in 1 request for TF boys); state XC/TF per year,"KSHSAA directory API: 526 schools in 1 request, 100% AD name+email; 0 coach rows [29]; AD 339/339 earlier sample [23]",public JSON API (kshsaa-api.kshsaa.org) + HTML; desktop UA needed; kansascoaches.com unreachable,[23],verified
KS,milesplit (ks.milesplit.com),RESULT-SOURCE + free Co2027 enumerator (roster),413 HS teams; state TF MeetID 751194,roster grad-year column,"/api/ state meet results (robots-disallowed); state entries 2,331 athletes / 325 teams observable in HTML",none,robots-allowed rosters,[23][27],verified
KS,directathletics_tfrrs,"AUTHENTICATED-NOT (HS depth), PRIMARY only in IN",865 T&F + 804 XC records; 436 canonical schools; SCBL HS Track 2026 20 teams,no grade in KS HS rows,90 idx rows / 7 HS-marked,none,open HTML,[23][28],verified (counts)
KS,athleticlive + timers,RESULT-SOURCE (+AN id bridge),"Midwest Timing Supabase events table (336 rows 2026, ~1 request, anon key)",no grade observed,milesplit.live/meets/751194 + Supabase rows,none,public (anon key),[23],verified
KS,athletic_net_rankings,DISCOVERY baseline,"divListId 169215; 2,037 G11 athletes (34 variants)","GradeID==11 in 2026-season rows = Co2027 (server-side grades:[11] filter, near-tight)",best-mark-only ranking rows; whole-meet refresh via Meet/* (3 XHR),none,browser-session API; CF-403 to curl,[04],verified
NE,state_association (NSAA),COACH-DIRECTORY + ATHLETIC.NET-SEED (28 district MeetIDs from one page),"312 directory entries (AD + per-sport head coaches, no association ids adopted); 283 TF / 253 XC participating entries","grade printed next to every athlete in district/state results (e.g. ""J'Shawn Afuh (11)"")","S3 mirror of /textfile/** (nsaa-static), district XC class result HTML w/ top-15 grade rows","NSAA directory (1 POST): 1,217 coach name rows, 0 emails; AD 311 rows, 0 emails [29]; TF 274/275, XC 243 boys/240 girls named [24]","nsaahome.org 403 to curl (use S3 mirror + secure.nsaahome.org forms); public bucket, no auth",[24],verified
NE,milesplit (ne.milesplit.com),RESULT-SOURCE + free Co2027 enumerator (roster),317 HS teams,roster grad-year column,/api/ (robots-disallowed),none,robots-allowed rosters,[27],verified platform
NE,directathletics_tfrrs,"AUTHENTICATED-NOT (HS depth), PRIMARY only in IN",634 T&F + 632 XC records; 319 canonical schools,legacy only,52 idx rows / 0 HS-marked,none,open HTML,[28],verified (counts)
NE,athleticlive + timers,RESULT-SOURCE (+AN id bridge),Black Squirrel (results.blacksquirreltiming.com); onlineraceresults race_id 79870 (state XC),not observed,state XC page + timer pages,none,public HTML,[24],verified
NE,athletic_net_rankings,DISCOVERY baseline,"divListId 169689; 1,980 G11 athletes (35 variants); 28 district MeetIDs from one NSAA page","GradeID==11 in 2026-season rows = Co2027 (server-side grades:[11] filter, near-tight)",best-mark-only ranking rows; whole-meet refresh via Meet/* (3 XHR),none,browser-session API; CF-403 to curl,[04][24],verified
ND,state_association (NDHSAA),COACH-DIRECTORY (names only) + ATHLETICLIVE/AN-SEED for the state series,"169 member schools (/schools/<id>/<slug>); co-op Google Sheet 885 rows (XC 91, TR 107; status 873 Current/9 26-27/3 27-28); NDHSAANow tournament + champions surfaces","AL RTDB per-athlete `y` = year in school (SR/JR/SO/FR), e.g. state XC 2025 Class A Boys; no NDHSAA grade column","State series only, curl-able: RTDB meet_55421/liveRunStandings/{1-1,2-1,3-1,4-1} (2025 state XC, 4 races, Class A Boys 185 entries; AN meet 261403); state TF live.athletic.net/meets/73476 (2026) / 53808 (2025)","NDHSAA school pages: 22/22 coach tables; B-XC 17/22, G-XC 16/22, B-TF 19/22, G-TF 19/22, >=1 of four in 20/22; AD always present; 0 emails [25][29]",public unauthenticated static JSON/HTML (RTDB + school pages); no browser needed for state series; 0 Athletic.net requests,[25],verified + 22-school sample
ND,milesplit (nd.milesplit.com),RESULT-SOURCE + free Co2027 enumerator (roster),153 HS teams (smallest in network),roster grad-year column,/api/ (robots-disallowed),none,robots-allowed rosters,[27],verified platform
ND,directathletics_tfrrs,"AUTHENTICATED-NOT (HS depth), PRIMARY only in IN",361 T&F + 362 XC records; 181 canonical schools,legacy only,29 idx rows / 0 HS-marked,none,open HTML,[28],verified (counts)
ND,athleticlive + timers,RESULT-SOURCE (+AN id bridge),Hero's Timing tenant (live.herostiming.com/meets/55421/events/xc/2144806) + AL RTDB nodes; AL meet 55421 <-> AN meet 261403,`y` year-in-school per athlete in RTDB standings,4 state XC races + state TF meets; rendered page shows Yr per athlete,none,public RTDB/ES JSON; no auth,[25][10],verified
ND,athletic_net_rankings,DISCOVERY baseline,divListId 170039 (ND 2026 outdoor [04]); 762 G11 athletes (26 variants) - smallest Midwest cohort,"GradeID==11 in 2026-season rows = Co2027 (server-side grades:[11] filter, near-tight)",best-mark-only ranking rows; whole-meet refresh via Meet/* (3 XHR),none,browser-session API; CF-403 to curl,[04],verified
SD,state_association (SDHSAA),COACH-DIRECTORY (names) + grade oracle at state,"176 member schools; Bound school ids (h2020...), Bound calendar id 4931063 <-> AN MeetID 278813 in the same row; AN XC division 87535 + TF 170271 with 207 school records; 153/176 SDHSAA schools matched to AN records (86.9%)","yearbook PDFs: boys XC 400 grade rows (106 = grade 11); TF participants 476/512/528 by class, grade-labelled rows",state-meet yearbook PDFs only; Bound /scores Result column empty for state TF date; sanctioned-meet Google Sheet CSV is header-only,"Bound gobound.com /sd/schools/<slug>/directory/new (5-school sample): 20 coach rows, 4 with email - ALL from Rapid City Stevens (1 of 5 schools); AD 10 rows, 2 with email. Independent 4-school sample on the same paths (www + non-www variants, [26]): 6 role rows/school (AD + 4 sport head coaches), names complete, 0 public emails. Reading: per-school opt-in, not a platform rule [29][26]",sdhsaa.com + gobound.com open HTML; Bound crawl-delay; www.athletic.net API 403 even with browser UA (SPA XHR only),[26],verified (coach: 4-5 school samples; 0 vs 4 email rows across the two samples)
SD,milesplit (sd.milesplit.com),RESULT-SOURCE + free Co2027 enumerator (roster),196 HS teams; AthleteID 11140853 verified,roster grad-year column; profile Class of 2027 verified,/api/ (robots-disallowed),none,robots-allowed rosters,[27],verified
SD,directathletics_tfrrs,"AUTHENTICATED-NOT (HS depth), PRIMARY only in IN",380 T&F + 378 XC records; 190 canonical schools,legacy only,30 idx rows / 0 HS-marked,none,open HTML,[28],verified (counts)
SD,athleticlive + timers,RESULT-SOURCE (+AN id bridge),no SD AthleticLIVE tenant evidenced,n/a,regular-season SD results not found in any source (ATN only),none,n/a,[26],verified (absence)
SD,athletic_net_rankings,DISCOVERY baseline,divListId 170271; 937 G11 athletes (26 variants); 148 distinct SD team labels; 207 ATN school records for XC+TF,"GradeID==11 in 2026-season rows = Co2027 (server-side grades:[11] filter, near-tight)",best-mark-only ranking rows; whole-meet refresh via Meet/* (3 XHR),none,browser-session API; CF-403 to curl,[04][26],verified
